id,time,time_received,latitude,longitude,altitude,geo_altitude,height,velocity_x,velocity_y,velocity_z,vertical_accuracy,horizontal_accuracy,speed_accuracy,pressure
8115335,2023-04-03 09:02:44+00,2023-04-03 09:02:46.491399+00,50.03940200805664,14.406867027282715,100.6,251,-23.61,-8,15.8,0,4,10,4,1001.225
8115336,2023-04-03 09:02:45+00,2023-04-03 09:02:46.817166+00,50.039546966552734,14.406758308410645,95.87,251,-28.34,-7.800000000000001,16,0,4,10,4,1001.7875
8115337,2023-04-03 09:02:46+00,2023-04-03 09:02:46.8595+00,50.03969955444336,14.406656265258789,99.39,251,-24.82,-7.4,16.6,0,4,10,4,1001.3687500000001
8115338,2023-04-03 09:02:47+00,2023-04-03 09:02:47.549641+00,50.03985595703125,14.406559944152832,100.07,251,-24.14,-6.800000000000001,17.400000000000002,0,4,10,3,1001.2875
8115339,2023-04-03 09:02:48+00,2023-04-03 09:02:56.571711+00,50.04001998901367,14.406476974487305,97.6,251,-26.61,-5.800000000000001,18.2,0,4,10,3,1001.5812500000001
8115340,2023-04-03 09:02:49+00,2023-04-03 09:02:57.111153+00,50.040191650390625,14.406408309936523,99.13,251,-25.08,-4.800000000000001,18.8,0,4,10,3,1001.4000000000001
8115341,2023-04-03 09:02:50+00,2023-04-03 09:02:57.147346+00,50.04036331176758,14.406352043151855,98.76,250.5,-25.45,-3.8000000000000003,19.400000000000002,0,4,10,3,1001.44375
8115342,2023-04-03 09:02:51+00,2023-04-03 09:02:57.184673+00,50.04054260253906,14.406310081481934,101.65,250.5,-22.56,-3,19.6,0,4,10,3,1001.1
8115343,2023-04-03 09:02:52+00,2023-04-03 09:02:57.220278+00,50.04072570800781,14.40628433227539,98.5,250,-25.71,-1.8,20,0,4,10,3,1001.475
8115344,2023-04-03 09:02:53+00,2023-04-03 09:02:57.282285+00,50.04090881347656,14.40627384185791,97.87,250,-26.34,-0.8,20.200000000000003,0,4,10,3,1001.5500000000001
